Node,Node Name,Appear in
"('ILX:0793712', ())",Zygomatic nerve,ilxtr:sparc-nlp/mmset1/2
"('ILX:0793713', ())",Deep petrosal nerve,ilxtr:sparc-nlp/mmset1/2
"('UBERON:0018412', ())",vidian nerve,"ilxtr:sparc-nlp/mmset1/2
ilxtr:sparc-nlp/mmset1/10"
"('UBERON:0022301', ())",long ciliary nerve,ilxtr:sparc-nlp/mmset1/3
"('UBERON:0011194', ())",ophthalmic plexus,"ilxtr:sparc-nlp/mmset1/3a
ilxtr:sparc-nlp/mmset1/3"
"('UBERON:0001607', ())",sphincter pupillae,"ilxtr:sparc-nlp/mmset1/3a
ilxtr:sparc-nlp/mmset2cn/5
ilxtr:sparc-nlp/mmset1/3"
"('UBERON:0022302', ())",short ciliary nerve,"ilxtr:sparc-nlp/mmset1/3a
ilxtr:sparc-nlp/mmset2cn/5
ilxtr:sparc-nlp/mmset2cn/4"
"('UBERON:0036216', ())",tympanic nerve,ilxtr:sparc-nlp/mmset1/5
"('UBERON:0002872', ())",inferior salivatory nucleus,ilxtr:sparc-nlp/mmset1/5
"('ILX:0793722', ())",Lesser petrosal nerve,ilxtr:sparc-nlp/mmset1/5
"('UBERON:0003963', ())",otic ganglion,"ilxtr:sparc-nlp/mmset1/5
ilxtr:sparc-nlp/mmset2cn/6"
"('UBERON:0002141', ())",parvocellular oculomotor nucleus,ilxtr:sparc-nlp/mmset2cn/1
"('UBERON:0001643', ())",oculomotor nerve,ilxtr:sparc-nlp/mmset2cn/1
"('UBERON:0002058', ())",main ciliary ganglion,"ilxtr:sparc-nlp/mmset2cn/1
ilxtr:sparc-nlp/mmset2cn/5
ilxtr:sparc-nlp/mmset2cn/4"
"('ILX:0793739', ())",Nerve fiber from submandibular ganglion to sublingual gland,ilxtr:sparc-nlp/mmset2cn/10
"('ILX:0793737', ())",Nerve fiber from submandibular ganglion to submandibular gland,ilxtr:sparc-nlp/mmset2cn/11
"('UBERON:0003729', ())",mouth mucosa,ilxtr:sparc-nlp/mmset2cn/12
"('ILX:0793738', ())",Nerve fiber from submandibular ganglion to mouth mucosa,ilxtr:sparc-nlp/mmset2cn/12
"('UBERON:0003721', ())",lingual nerve,ilxtr:sparc-nlp/mmset2cn/3
"('UBERON:0009675', ())",chorda tympani branch of facial nerve,ilxtr:sparc-nlp/mmset2cn/3
"('UBERON:0002149', ())",superior salivatory nucleus,"ilxtr:sparc-nlp/mmset2cn/3
ilxtr:sparc-nlp/mmset1/10"
"('UBERON:0001647', ())",facial nerve,"ilxtr:sparc-nlp/mmset2cn/3
ilxtr:sparc-nlp/mmset1/10"
